City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
182,Alyangula,AU,-13.8483,136.4192,70.72,54,77,15.97,broken clouds
183,Punta Cardon,VE,11.6581,-70.215,81.01,78,35,30.15,scattered clouds
184,Araouane,ML,18.9048,-3.5265,94.06,34,39,8.72,light rain
185,Barrow,US,71.2906,-156.7887,46.42,76,40,26.46,scattered clouds
186,Cap Malheureux,MU,-19.9842,57.6142,69.48,72,79,5.99,broken clouds
187,Sola,VU,-13.8833,167.55,80.28,82,77,17.83,moderate rain
188,Punta Alta,AR,-38.8759,-62.0736,49.12,36,93,7.34,overcast clouds
189,Ust-Kuyga,RU,70.0167,135.6,59.47,52,5,5.75,clear sky
190,Astana,KZ,51.1801,71.446,60.75,55,0,6.71,clear sky
191,Kidal,ML,18.4411,1.4078,88.12,38,68,7.25,broken clouds
192,Hays,US,30.0502,-98.0336,102.67,35,59,14.88,broken clouds
193,Constitucion,CL,-35.3333,-72.4167,53.17,88,49,10.83,scattered clouds
194,Aksu,CN,41.1231,80.2644,75.4,28,0,4.14,clear sky
195,Krasnovka,RU,48.8177,40.0923,56.01,88,13,6.82,few clouds
196,Maku,IR,39.2911,44.4521,69.78,38,0,2.86,clear sky
197,Daru,PG,-9.0763,143.2092,78.31,87,52,6.42,broken clouds
198,Necochea,AR,-38.5473,-58.7368,44.83,48,91,5.23,overcast clouds
199,Pergamino,AR,-33.89,-60.5736,55.18,64,96,7.85,overcast clouds
200,Malya,TZ,-2.9833,33.5167,68.05,49,99,12.84,overcast clouds
201,Khandyga,RU,62.6667,135.6,77.54,51,40,5.12,scattered clouds
202,Port Shepstone,ZA,-30.7414,30.455,64.74,72,85,5.14,overcast clouds
203,Puerto Escondido,MX,15.85,-97.0667,84.52,76,99,3.27,overcast clouds
204,Mangrol,IN,21.1167,70.1167,81.54,82,100,15.95,overcast clouds
205,Chokurdakh,RU,70.6333,147.9167,53.56,35,0,8.86,clear sky
206,Bundaberg,AU,-24.85,152.35,63.21,99,100,18.41,overcast clouds
207,Kautokeino,NO,69.0125,23.0412,50.4,92,77,8.88,broken clouds
208,Ribeira Grande,PT,38.5167,-28.7,73.45,86,52,2.01,broken clouds
209,Airai,TL,-8.9266,125.4092,57.38,85,98,3.78,overcast clouds
210,Ingham,US,42.6,-84.3833,87.42,50,75,11.5,broken clouds
211,Plymouth,US,41.8334,-70.8328,83.98,81,75,17.27,broken clouds
212,Buta,CD,2.7858,24.73,70.27,99,100,1.5,light rain
213,Yeppoon,AU,-23.1333,150.7333,60.58,91,25,7.85,scattered clouds
214,Broken Hill,AU,-31.95,141.4333,49.28,80,66,12.44,broken clouds
215,Bagdarin,RU,54.4333,113.6,63.84,84,98,1.39,overcast clouds
216,Colac,AU,-38.3333,143.5833,51.84,78,20,5.19,few clouds
217,Tomatlan,MX,19.9333,-105.25,89.69,66,61,7.29,broken clouds
218,Ipameri,BR,-17.7219,-48.1597,68.09,46,42,6.17,scattered clouds
219,Salalah,OM,17.0151,54.0924,77.09,94,100,5.75,overcast clouds
220,Berasia,IN,23.6333,77.4333,74.64,91,100,7.25,overcast clouds
221,Kyakhta,RU,50.3508,106.4494,55.36,98,100,2.68,moderate rain
222,Voi,KE,-3.3945,38.563,65.37,84,26,9.19,scattered clouds
