City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
314,Guanica,PR,86.13,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
316,Mengyin,CN,76.1,scattered clouds,35.7069,117.9264,Jinmengyuan Hotel
317,Sao Jeronimo,BR,65.23,overcast clouds,-29.9592,-51.7222,Ilha das Pedras de Triunfo Hotel/RS
320,Novovorontsovka,UA,66.34,clear sky,47.5004,33.9175,"Гостиница ""Боцман"""
321,Millinocket,US,82.51,clear sky,45.6573,-68.7098,Katahdin Inn & Suites
322,Marzuq,YE,76.93,clear sky,14.4,46.4667,
323,Cilegon,ID,77.41,overcast clouds,-6.0174,106.0538,Forbis Hotel
325,Zhuhai,CN,84.85,few clouds,22.2769,113.5678,珠海粤财假日酒店
327,Jalu,LY,76.98,clear sky,29.0331,21.5482,صاحبة الفخامة
328,Newport,GB,67.68,overcast clouds,51.5877,-2.9984,ibis budget Newport
329,Fasa,IR,83.44,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
330,Ilhabela,BR,68.13,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
334,Aitape,PG,79.47,overcast clouds,-3.1374,142.3475,
336,Prince Albert,CA,76.95,broken clouds,53.2001,-105.7677,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
337,Jutai,BR,76.39,broken clouds,-5.1833,-68.9,
339,Riohacha,CO,82.51,scattered clouds,11.5444,-72.9072,Hotel Taroa
340,Singaparna,ID,70.77,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
341,Erzin,TR,74.55,clear sky,36.9559,36.2,Artemis Otel
347,Bignona,SN,78.84,moderate rain,12.8103,-16.2264,Hôtel Palmier
353,Hollins,US,91.24,scattered clouds,37.3413,-79.9431,"Country Inn & Suites by Radisson, Roanoke, VA"
355,Puerto Carreno,CO,78.78,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
359,Yerofey Pavlovich,RU,69.17,scattered clouds,53.9667,121.9667,lounges and warm parking
360,Greenwood,US,86.36,broken clouds,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
361,Aldan,RU,65.41,broken clouds,58.6031,125.3894,Aldan Guest House
362,Hambantota,LK,78.62,overcast clouds,6.1241,81.1185,Bungalow 63
363,Fethiye,TR,71.47,clear sky,36.6217,29.1164,Club & Hotel Letoonia
